id,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
1,-122.23,37.88,41,880,129,322,126,8.6252,452900,NEAR BAY
2,-122.22,37.86,21,7099,1106,2401,1138,8.6014,358800,NEAR BAY
3,-122.24,37.85,52,1467,190,496,177,7.5574,352400,NEAR BAY
4,-122.25,37.85,52,1274,235,558,219,5.9431,341600,NEAR BAY
5,-122.25,37.85,52,1627,280,565,259,4.1462,342500,NEAR BAY
6,-122.25,37.85,52,919,213,413,193,4.3368,270000,NEAR BAY
7,-122.25,37.84,52,2535,489,1094,514,3.9591,299500,NEAR BAY
8,-122.25,37.84,52,3104,687,1157,647,3.42,241700,NEAR BAY
9,-122.26,37.84,42,2555,665,1206,595,2.3804,227000,NEAR BAY
10,-122.25,37.84,52,3549,707,1551,714,3.9912,261400,NEAR BAY
11,-122.26,37.85,52,2202,434,910,402,3.5031,281800,NEAR BAY
12,-122.26,37.85,52,3503,752,1504,734,3.5705,242100,NEAR BAY
13,-122.26,37.85,52,2491,474,1098,468,3.375,213800,NEAR BAY
14,-122.26,37.84,52,696,191,345,174,2.9736,191600,NEAR BAY
15,-122.26,37.85,52,2643,626,1212,620,2.2167,159500,NEAR BAY
16,-122.26,37.85,50,1120,283,697,264,2.425,140300,NEAR BAY
17,-122.27,37.85,52,1966,347,793,331,3.075,152800,NEAR BAY
18,-122.27,37.85,52,1228,293,648,303,2.4202,155800,NEAR BAY
19,-122.26,37.84,50,2239,455,990,419,2.2911,159000,NEAR BAY
20,-122.27,37.84,52,1503,298,690,275,2.9033,163200,NEAR BAY
21,-122.27,37.85,40,751,184,409,166,1.6578,147800,NEAR BAY
22,-122.27,37.85,42,1639,367,929,366,2.0135,160100,NEAR BAY
23,-122.27,37.84,52,2436,541,1015,478,2.025,114200,NEAR BAY
24,-122.27,37.84,52,1688,337,853,325,2.4806,100000,NEAR BAY
25,-122.27,37.84,52,2224,437,1006,422,2.9,132900,NEAR BAY
26,-122.28,37.85,41,535,123,317,119,2.7038,107800,NEAR BAY
27,-122.28,37.85,49,1130,244,607,239,2.7597,94100,NEAR BAY
28,-122.28,37.85,52,1898,421,1102,397,2.108,105800,NEAR BAY
29,-122.28,37.84,50,2082,492,1131,473,1.9424,109200,NEAR BAY
30,-122.28,37.84,52,729,160,395,155,1.9875,132300,NEAR BAY
31,-122.28,37.84,49,1916,447,863,378,2.2274,122600,NEAR BAY
32,-122.28,37.84,52,2153,481,1168,441,2.2615,115500,NEAR BAY
33,-122.27,37.84,48,1922,409,1026,335,2.0969,110700,NEAR BAY
34,-122.27,37.83,49,1655,366,754,329,1.675,105200,NEAR BAY
35,-122.27,37.83,51,2665,574,1258,536,3.0303,110000,NEAR BAY
36,-122.27,37.83,49,1215,282,570,264,1.7861,97500,NEAR BAY
37,-122.27,37.83,48,1798,432,987,374,1.3972,104800,NEAR BAY
38,-122.28,37.83,52,1511,390,901,403,1.7103,104200,NEAR BAY
39,-122.26,37.83,52,1470,330,689,309,3.78,191700,NEAR BAY
40,-122.26,37.83,52,2432,715,1377,696,2.8898,176300,NEAR BAY
41,-122.26,37.83,52,1665,419,946,395,2.3978,155700,NEAR BAY
42,-122.26,37.83,51,936,311,517,249,1.5852,150300,NEAR BAY
43,-122.26,37.84,49,713,202,462,189,1.325,119100,NEAR BAY
44,-122.26,37.84,52,950,202,467,198,4.2643,189100,NEAR BAY
45,-122.26,37.83,52,1443,311,660,292,3.3125,184700,NEAR BAY
46,-122.26,37.83,52,1656,420,718,382,2.9768,182600,NEAR BAY
47,-122.26,37.83,50,1125,322,616,304,2.326,142800,NEAR BAY
48,-122.27,37.82,43,1007,312,558,253,2.0348,137800,NEAR BAY
49,-122.26,37.82,40,624,195,423,160,1.2506,187800,NEAR BAY
50,-122.27,37.82,40,946,375,700,352,2.075,112800,NEAR BAY
51,-122.27,37.82,21,896,453,735,438,1.2218,172200,NEAR BAY
52,-122.27,37.82,43,1868,456,1061,407,1.8045,94100,NEAR BAY
53,-122.27,37.82,41,3221,853,1959,720,1.4108,97800,NEAR BAY
54,-122.27,37.82,52,1630,456,1162,400,1.5475,104500,NEAR BAY
55,-122.28,37.82,52,1170,235,701,233,1.9098,87800,NEAR BAY
56,-122.28,37.82,52,945,243,576,220,1.7113,83400,NEAR BAY
57,-122.28,37.82,52,1238,288,622,259,1.8057,87800,NEAR BAY
58,-122.28,37.82,52,1489,335,728,244,1.1172,85600,NEAR BAY
59,-122.28,37.82,52,1387,341,1074,304,1.5171,80600,NEAR BAY
60,-122.29,37.82,2,158,43,94,57,2.8625,60300,NEAR BAY
61,-122.29,37.83,52,1121,211,554,187,3.6929,76000,NEAR BAY
62,-122.29,37.82,49,135,29,86,23,6.4183,75300,NEAR BAY
63,-122.29,37.81,50,760,190,377,122,1.2011,86400,NEAR BAY
64,-122.3,37.81,52,1224,237,521,159,1.491,76400,NEAR BAY
65,-122.3,37.81,48,828,182,392,133,2.8938,73800,NEAR BAY
66,-122.3,37.81,52,1010,209,604,187,1.4667,78700,NEAR BAY
67,-122.3,37.81,48,1455,354,788,332,1.1056,84700,NEAR BAY
68,-122.29,37.8,52,1027,244,492,147,2.9094,81600,NEAR BAY
69,-122.3,37.81,52,572,109,274,82,2.1516,85300,NEAR BAY
70,-122.29,37.81,46,2801,644,1823,611,1.2802,129500,NEAR BAY
71,-122.29,37.81,26,768,152,392,127,2.0719,82800,NEAR BAY
72,-122.29,37.81,46,935,297,582,277,1.0286,95500,NEAR BAY
73,-122.29,37.81,49,844,204,560,152,2.05,75300,NEAR BAY
74,-122.29,37.81,46,12,4,18,7,0.7999,67800,NEAR BAY
75,-122.29,37.81,20,835,161,290,133,2.783,137800,NEAR BAY
76,-122.28,37.81,17,1237,462,762,439,1.2241,177800,NEAR BAY
77,-122.28,37.81,36,2914,562,1236,509,2.7464,102400,NEAR BAY
78,-122.28,37.81,19,1207,243,721,207,1.4111,108600,NEAR BAY
79,-122.29,37.81,23,1745,374,1054,325,1.1026,112800,NEAR BAY
80,-122.28,37.8,38,684,176,344,155,2.3114,131600,NEAR BAY
81,-122.28,37.81,17,924,289,609,289,1.8,162800,NEAR BAY
82,-122.27,37.81,52,210,56,183,56,1.4667,112800,NEAR BAY
83,-122.28,37.81,52,340,97,200,87,1.8208,112800,NEAR BAY
84,-122.28,37.81,52,386,164,346,155,1.1075,137800,NEAR BAY
85,-122.28,37.81,35,948,184,467,169,2.1088,119100,NEAR BAY
86,-122.28,37.81,52,773,143,377,115,2.7083,98500,NEAR BAY
87,-122.27,37.81,40,880,451,582,380,1.277,119100,NEAR BAY
88,-122.27,37.81,10,875,348,546,330,1.06,162800,NEAR BAY
89,-122.27,37.8,10,105,42,125,39,1.2722,137800,NEAR BAY
90,-122.27,37.8,52,249,78,396,85,1.5434,500301,NEAR BAY
91,-122.27,37.8,16,994,392,800,362,2.3938,162800,NEAR BAY
92,-122.28,37.8,52,215,87,904,88,1.1668,137800,NEAR BAY
93,-122.28,37.8,52,96,31,191,34,1.05,162800,NEAR BAY
94,-122.27,37.79,27,1055,347,718,302,2.9354,187800,NEAR BAY
95,-122.27,37.8,39,1715,623,1327,467,2.1477,179500,NEAR BAY
96,-122.26,37.8,36,5329,2477,3469,2323,2.3096,130300,NEAR BAY
97,-122.26,37.82,31,4596,1331,2048,1180,3.1345,184100,NEAR BAY
98,-122.26,37.81,29,335,107,202,91,2.3062,125300,NEAR BAY
99,-122.26,37.82,22,3682,1270,2024,1250,1.5185,170300,NEAR BAY
100,-122.26,37.82,37,3633,1085,1838,980,2.9104,193400,NEAR BAY
101,-122.25,37.81,29,4656,1414,2304,1250,2.7912,258100,NEAR BAY
102,-122.25,37.81,28,5806,1603,2563,1497,3.5177,273700,NEAR BAY
103,-122.25,37.81,39,854,242,389,228,3.425,237800,NEAR BAY
104,-122.25,37.81,52,2155,701,895,613,2.8795,350300,NEAR BAY
105,-122.26,37.81,34,5871,1914,2689,1789,3.1406,336000,NEAR BAY
106,-122.24,37.82,52,1509,225,674,244,5.2306,313700,NEAR BAY
107,-122.24,37.81,52,2026,482,709,456,3.5727,268800,NEAR BAY
108,-122.25,37.81,52,1758,460,686,422,3.4691,259700,NEAR BAY
109,-122.24,37.82,52,3481,751,1444,718,4.2,276000,NEAR BAY
110,-122.25,37.82,28,3337,855,1520,802,4.2063,225300,NEAR BAY
111,-122.25,37.82,52,1424,289,550,253,5.3917,262800,NEAR BAY
112,-122.25,37.82,32,3809,1098,1806,1022,2.9429,218800,NEAR BAY
113,-122.25,37.82,26,3959,1196,1749,1217,3.3233,255300,NEAR BAY
114,-122.25,37.83,52,2376,559,939,519,3.4484,224400,NEAR BAY
115,-122.25,37.83,35,1613,428,675,422,3.7722,243400,NEAR BAY
116,-122.25,37.83,52,1279,287,534,291,3.4429,231900,NEAR BAY
117,-122.25,37.83,28,5022,1750,2558,1661,2.7234,218800,NEAR BAY
118,-122.25,37.83,52,4190,1105,1786,1037,3.3897,234400,NEAR BAY
119,-122.23,37.84,50,2515,399,970,373,6.1596,327900,NEAR BAY
120,-122.23,37.84,47,3175,454,1098,485,5.5868,347900,
121,-122.24,37.83,41,2576,406,794,376,6.256,366400,
122,-122.24,37.85,37,334,54,98,47,5.2643,335300,NEAR BAY
123,-122.23,37.85,52,2800,411,1061,403,6.6434,373900,NEAR BAY
124,-122.24,37.84,52,3529,574,1177,555,5.4773,389800,NEAR BAY
125,-122.24,37.85,52,2612,365,901,367,7.5354,391400,NEAR BAY
126,-122.22,37.85,28,5287,1048,2031,956,5.757,337600,NEAR BAY
128,-122.21,37.84,44,3424,597,1358,597,6.3194,292600,NEAR BAY
129,-122.21,37.83,40,4991,674,1616,654,7.8544,411800,NEAR BAY
130,-122.2,37.84,30,2211,346,844,343,6.3666,311800,NEAR BAY
131,-122.21,37.84,34,3038,490,1140,496,7.3548,326200,NEAR BAY
